gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,59,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.17,3251.87,No
Female,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,87.81,5769.71,No
Male,1,No,Yes,50,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),45.91,2242.06,Yes
Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),86.39,1996.59,No
Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,81.56,3214.49,No
Female,0,No,No,18,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,60.68,1170.69,No
Male,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.18,570.41,No
Male,0,Yes,No,1,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.35,18.0,No
Male,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,728.5,No
Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,99.78,4116.2,No
Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,84.42,3484.57,No
Male,0,No,No,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,80.19,799.23,Yes
Male,1,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),57.76,1391.44,Yes
Male,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.81,736.17,Yes
Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),88.61,6208.19,No
Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.07,697.12,No
Female,0,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.08,517.71,No
Female,1,No,Yes,30,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,69.51,2156.26,No
Female,0,No,Yes,34,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,76.3,2609.66,No
Male,0,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.89,4252.06,Yes
Female,1,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),85.0,5843.26,No
Male,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.01,125.67,No
Female,1,No,No,61,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,56.43,3443.62,No
Female,0,Yes,Yes,38,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,88.92,3389.26,No
Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),79.81,2263.57,No
Female,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),54.23,1333.9,No
Female,0,No,No,61,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,88.93,5432.77,Yes
Female,1,Yes,No,23,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),64.17,1542.18,No
